staking_days,stake_amount,stake_period,transaction_hash,day,hour,num_staked_tkns,dt,unlock_dt
0,0x00000000000000000000000000000000000000000000006f05b59d3b20000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x014d78be74a4d4d2d854db72fb40f1b1e26cd174da7f47c8f548ce31c4d8a408,13/02/2025,19,2048.0,2025-02-13 19:00:00,2025-02-13 19:00:00
0,0x00000000000000000000000000000000000000000000006f05b59d3b20000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x09a124958be3091e9dc158c9af52fad3cb7d2bbb59257fc08d18fc1cb0b20626,13/02/2025,10,2048.0,2025-02-13 10:00:00,2025-02-13 10:00:00
0,0x00000000000000000000000000000000000000000000006f05b59d3b20000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x022b2cda4617900bb9ac40d13e9a11b9a94043611b88b6bbec50cf4caf077f80,13/02/2025,10,2048.0,2025-02-13 10:00:00,2025-02-13 10:00:00
0,0x00000000000000000000000000000000000000000000003782dace9d90000000,0x0000000000000000000000000000000000000000000000000000000000000000,0xa3bd9383a747561119348be9d349b0fc1123d4b5612cc07273f32684c3dc345b,13/02/2025,0,1024.0,2025-02-13 00:00:00,2025-02-13 00:00:00
0,0x00000000000000000000000000000000000000000000006f05b59d3b20000000,0x0000000000000000000000000000000000000000000000000000000000000000,0xaaf2be3265582fff70422536464f720af27cf88bf61e8e2a0f9f16b4f74cbb6b,13/02/2025,8,2048.0,2025-02-13 08:00:00,2025-02-13 08:00:00
0,0x00000000000000000000000000000000000000000000025a4c0273fce52e8000,0x0000000000000000000000000000000000000000000000000000000000000000,0x7a0ef8530f6e4157359ec004f1ef9e4e5e5a7a07b81128920ccc98e66f492dad,26/04/2025,1,11110.417,2025-04-26 01:00:00,2025-04-26 01:00:00
0,0x000000000000000000000000000000000000000000006033a7004770f8f00000,0x0000000000000000000000000000000000000000000000000000000000000000,0x24db47444f65e02e02c3f830e8771da06bb146f9183a61d973689bd166d81040,26/04/2025,16,454300.0,2025-04-26 16:00:00,2025-04-26 16:00:00
0,0x0000000000000000000000000000000000000000000002a5a058fc295ed00000,0x0000000000000000000000000000000000000000000000000000000000000000,0x5b10647cd9f38915f4c4841be5d569873911cc925157ce99b8f40563eeb12980,26/04/2025,14,12499.999999999998,2025-04-26 14:00:00,2025-04-26 14:00:00
0,0x0000000000000000000000000000000000000000000008d2d3a9917970900000,0x0000000000000000000000000000000000000000000000000000000000000000,0xfa1d8dc3b9f37e6c1e22e86beb82848876b284b1bef97cf7befd6d1786c86b1d,27/04/2025,9,41668.0,2025-04-27 09:00:00,2025-04-27 09:00:00
0,0x00000000000000000000000000000000000000000000027b928bd4a1bd857800,0x0000000000000000000000000000000000000000000000000000000000000000,0x2e170e6b74dc473efd35729c5462f6d799db983fe7b1b9a5c64424e0c5df649a,21/07/2025,12,11724.242254347999,2025-07-21 12:00:00,2025-07-21 12:00:00
0,0x00000000000000000000000000000000000000000000006c6b935b8bbd400000,0x0000000000000000000000000000000000000000000000000000000000000000,0xc89ab5ec0e58ad16eacee4bd83c6dfa9479fa09abfa61afe60d22e250b6bf327,21/07/2025,12,2000.0,2025-07-21 12:00:00,2025-07-21 12:00:00
0,0x000000000000000000000000000000000000000000000261dd1ce2f208880000,0x0000000000000000000000000000000000000000000000000000000000000000,0x3f46278359663416ac7a000cf365db2133b816236b86ae32db81662b263d276f,03/08/2025,20,11250.0,2025-08-03 20:00:00,2025-08-03 20:00:00
0,0x0000000000000000000000000000000000000000000004696096ad440bdf0000,0x0000000000000000000000000000000000000000000000000000000000000000,0xfd28f716f628bdb56eee849c8780e55153dd26e7b964027cd61a1a5ac4f81b24,03/08/2025,20,20833.334,2025-08-03 20:00:00,2025-08-03 20:00:00
