recipient,balance
0x7D515C9950c2DbcBc0146E0DE53AF36F16406a43,158104.90911163902
0x017D9950AE2a6875aBcbD5C6a7Bd1e6381D25074,143393.868214629
0x4489d750e02258816706994322122DA2C0626bDb,120214.995196191
0x0Bc9cE24aA08908bAf38F5E6db7B96F559646bD7,119499.57615650099
0x4203F3a3957E10011c8dE3eE7B3821390B58224C,118720.593850862
0xC3bDc887c60E84e4968603E954844b50b3fc7d6D,83640.932573505
0x69588fCE614a3D467f64aBAd531a1438cAc9DC62,71697.73031349899
0x064009a6a36D8af5d4B15BF37c9B678363862575,71689.010303685
0x30270742519399E896E5A3468A46219995FB0824,64167.194609276
0x84bb2f5E4dfFC34fB960F6232477A455970b3325,61773.684436147996
0xdf30c987e2119Eb5BbAFd14a2fDc4C6f3F16E39A,46708.855551372995
0x5B1c25d4c89d7B20Bc55C25E3a70a815CF18d348,34984.288085888
0x4d2f5088287bD8b6CeDe1383b9Bffe3F7e941Fa2,27091.983288118998
0x79517776587A84D748dBE29Fe7e1762f565bFCc7,27082.442244722
0x5ee27D110A124fa3f8A4fBc27D990e9e0B30a6c0,27080.109742338
0x75285cDCeFca78B98d9793712f92E79828887242,26766.947372629
0x751e5F10A6b82B56D35acaA193fb29e29B7a4Aa6,26493.963721304
0x9365369Be8AeeB177FC5d81fC6aC2ea6209b4913,26346.167208949
0xD97E01E207A819edefE828fdAce164BFD3a53A6C,26345.163114756
0x22F9488B5A6DBC40ecca8010501186F9CD7809C6,26312.518993513997
0xDE859580638B18811CaC364189F32508a4177F17,25885.637529558
0x5d7dC35Bb103D060B6d23672059EE02BCAD14895,25605.405690869
0xa3A47ABA9e2c1392BD110A39DEDA1328e7C5d6eA,25604.901254283
0x0885bc0FD02d3c6f9E36b79580B6aBC5823D6891,25522.340597931998
0x7009E89904Eb05082603a214326AA9fAF4B98331,25284.058210586998
0x4263D39a692085497870661CB6f2598b212A390e,24844.237145664
0x416ebc4a9158710e2723011e09119a3c493C2F49,22935.07818691
0x908Ac31250D85EaF17aBb2462FF031DC3A272B4F,22828.070592688
0x3644B388ff67f74E098C6E0dFC95f15dD41804D1,22473.951348322
0xF219c621620161F0b41454475B773cc336AE5A9B,22379.065183198003
0x58062B2FA8a7860d2D7c1ac4707dB5BF13116Ac5,22246.857522029997
0x8caAacbd9EA005b1Fd7477D0Fb975c669ac2B8DA,22111.633391592997
0x001dF63b52DdE6ff8a3DCd54a2cB31d41bC6E797,22107.65322125
0x66A9cA68B654Aa6d612b35F6f5836a47bF0a8109,21342.07966903
0x0b0fE019E116B0660BAb60B18351fA01dD0748f2,21010.059627462
0xC2a1C0F44592eC244031Be5e3D69cCF60aE0277E,20979.167897396997
0x9c577677615eABB97483788aC965F2dBf73c560F,20581.452713545998
0x6FA05Fd9c0D73d6daa0f8d90270A6b0F38Fa03Aa,20222.962055104
0x9C858324FDeEC47350571C64e66886d07a9C6086,20179.540005906998
0xde3dd00C5c01fB28292F88172E7a195d528281ae,19146.158916792003
0x4788345476de985c8bc5d36030a8Ad462479EE5c,18720.216512020997
0xF2C3Cc75E1bFb3EA818F8FC918d48FFfcA524b9c,18698.717769837
0x8D9515FE3F43BAD08c9cd119bD0ec240C690Fc06,18664.285248886
0x5f705547d3Ec20BfddE65C1183fF7D6F875293cC,18446.496276735
0x2d6f449BE9073c55dEF2170568CCeA3a2FE3e3B7,18342.897169513
0x43bF651A057f40430047261a800a516795268124,18198.771728341
0x8961CbBfD34E30bB7a507caf2D024A8683400cd1,18004.885622634
0x812b1d107B6697D22513c3FA9960c9cC3Efc4272,17948.595089611
0x2EA5d1293F5A52D527B20A38bF798B860dD303D6,17920.174413649
0x3c9F790b477A7B7b4707A26494961aA313A18442,17741.189487455
0xa5eA8953a75474C15553C71e92B9f519Bf5Aa881,17070.967183019
0x2bc9644aD6100d2828495b2421A90d5233927aF4,16856.654115223002
0x907cDE75f19b6689167E16869AcCf532c9de7337,16279.217579061999
0x2B84FDf9a5d1Ab0f77048f6CeA831b1d2A0831cb,16175.458637047
0x8A21391aE6A3711F7B2Fa15bDAc2Ee1e18e591c2,16160.81778117
0xb512909319d27529ce51E64a431AD3855fB186e1,15854.770709477001
0xe9486245Ec36faCFeB0514491296C1209A4D45A4,15838.870176793
0x902f7eeA385e83ff73dcFfaa35814CA666ebA989,15664.410764703001
0x1f284D5AF902B6EeeF0BDa9F73D16B1dfCF8f202,15599.382488271001
0x868546842e1d28C97ef050D39c99F7a75B0FF5E9,15460.921294676
0xdfB91C244fe1fA1E023BD5bEe2282cBff5f6143B,15168.897771554
0xF9c50496205fe95252c1b9079f4150a76eEEb265,13858.865623201
0xb4B17636525971A11aBA7dd2363464F4c787fB7e,13858.790620882
0x56eB0B2B94aB618236702A3A1C7B85e59dF21AA1,13858.702182611
0x3B2F90910f0c37104C60eA2D27cbea850214Ee3A,13847.641359682
0xFb88d986BF103BE292c8473e9b40219F0029BAFd,13842.276162369
0xFcba6f6FB5C058FE3792142A7a27a8f4c79D8125,13836.976423107
0x0866198860E9629cDd557eE7D00E0e5Cc6f3e136,13835.546771102001
0x753b0c7F10120f05a05baFe7744E3162a43d3571,13802.690279145
0x0edACaef1fad651d52a68D2e63c1eB450fBAdeB4,13698.240500230999
0xC9DeB2371F741bcb602B7Bc2718B2E9eae6B68fb,13578.227831939
0xE288837565616D522BBCEf2B3784dC363f4E6D80,13338.530239258002
0xB68b15fD614AcbF5E9e4668119b376FD94dF5dF5,13145.364241784
0xaCA74Fd3EECC05C2AE19Ff54Dd669F5B5a8c3b6d,12608.681592661
0xd25C75625E53E7cd5D105B0BC2454CF8E67f4408,12553.150758121
0x3dd63054198cF309AbFad2Ff0665f11D4d617c48,12480.564489383001
0xed63698d70FdAD474Ed64e391ab1e2032C363759,12441.003313799
0x6a7D3830D82Ba6a08bf0988890a63266Eb08a256,12440.968811342
0x0f43ed44601d40D59EeB41bB06474ac9Ee08a23A,12288.405751439
0xdbCdC36735f1E21754d06f6D5081Fa30a2C492bE,12256.27537387
0x169754f27468D78b9F18D8a1a8630dB7E94b3c42,12256.119554948
0x233d299cdA67a0056300739d19DdD3707DFad52D,12088.690816508
0x4d0aEBBC0492122109be88dB5dbfd0f080ab0a09,11848.232308032999
0xA8e284Fce4Dc16788ce4F0F615f9dcCb2B458759,11687.7896566
0xEC035538f7b09C8384f679002BDe49F5E730fa0D,11636.777729292
0xB73849C12E025E2db861fD1C34Aed6a828dA6747,11199.488434602
0x0aC89D05fCbf17b7F881ebC9f45F961743f9D709,11199.440955987
0xbABCCe8c7622Ed124f1C4c5E71B0022bA795c949,11199.413588608
0x3C099E8F6F008990A3a524f4f322BF4Bd690b1d9,11166.735564879
0xc5d34cD2341328579C8939A50C74DEbECcE38056,11094.89885658
0x6b2B5d42d7F2CF6bf4A101328D798a94bF9780C2,11047.29626231
0xa7f5F2FF96e253A9BA31F047e7bF720D95984180,11030.906734754
0x7Df3a5A03b18bBa64F4438B281eB4b2d6C01aBD4,10841.524301065001
0xA152d9De7f03ed46297307c5c3ff082Cf3070087,10793.575048792001
0xd8329b0Be7Ed4eA91C1d35BAc3b7e32dA21003af,10780.952663500999
0x5438f857fC9b94264566600D626F44fCEa3fd51E,10496.777445039
0x12526fF50120bA5B5121742b0DE4D181420B028f,10454.649097581
0x0846a2Ca185acC2E24dEeC98942385eae40dE103,10445.148467159
0xc5e78B055e2c913b4229c1C566a280F28AeF1dCB,9957.867305771999
0xd5F13e808e96538e1C8E3Fca00CF52bb14A489bD,9949.907501624
0x9FA148913a06b81CB9BCb4AAAEf8fd0b33185832,9941.714304194
0x324492498AAFf83c3b4BAE2b8D416C7aB7E7b8aD,9869.642990712
0x043ecFC44492454b43F53764c49912249EcA1196,9829.372014724002
0xCB47136d46d53b75E990E2aa06E30c25C47DF27e,9821.678835942
0xA014bbA1ae56dEBabd1D6c37f5dbaAA4Bf46FcFD,9805.545732315
0x27d8a9476D771997C4C7c4b468DE84C381323559,9797.611664142001
0xCB30C69a721CC46BE7475FBa1F65fC1431604F4C,9677.300632262
0xF8dC7D7eB31c3ec2f3d559009D685619B44Aa8d5,9404.948752998
0x528e609a4Dcb36cad77602a299E731319d181F8E,9357.334847795
0x8a7c6c6ac92dA1699538528Db453377225E23323,9333.302906659
0xf9BB527Ed1B178A540588930C0Ba6A562f3De372,9253.143494727
0xB4555beb555061A1C69e7D54E3772Bc08e628B15,9253.119361658
0xE79A88903f2354BF820D6e4265a4aD7C0bB65b8b,9253.092967212
0x3f8cFfeeCC2f6EE64aC618d31899d33CB1682DB7,9188.95902174
0x86E2755884f73172AE1FBd9f8D39d54BA0419bD2,8904.95521459
0x2E541C576Bd5DA73a212AcC9deAadafE17910F56,8712.613971912
0xAE97D40333C60a418BAe84d9b7992fEaB2DEa2C5,8631.913849254
0x85f8424e3799CD3F3AACfef6E69C54941b05A573,8019.794757314001
0x0415fCD6230eeb9F2BEdB8C511A48aB8f189e4A2,7939.883310597
0x1F6b97a6Db8d74f086A296F2e1AE0e769C964c11,7448.077709002
0x7a2415e1a96023E6b790812A9c1EDA618c5532F9,7200.273992202
